site,category_name,category_id
ID,Microwave & Oven,7530
ID,Microwave & Oven,7530
ID,Coffee,7531
ID,Tea,7532
ID,Nutritional Drinks & Mineral Water,7533
ID,Mountain Sandal,7544
ID,Mountain Sandal,7544
ID,Slippers,7545
ID,Slippers,7545
ID,Flats & Ballerina,7546
ID,Flats & Ballerina,7546
ID,Shoes Wedges,7554
ID,Shoes Wedges,7554
ID,Strappy Heels,7559
ID,Strappy Heels,7559
ID,Pump Heels,7560
ID,Pump Heels,7560
ID,Platform Heels,7561
ID,Platform Heels,7561
ID,Flip flop,7562
ID,Flip flop,7562
ID,Strappy Sandal,7563
ID,Strappy Sandal,7563
ID,Caftan,7569
ID,Caftan,7569
ID,Abaya Cloak,7570
ID,Abaya Cloak,7570
ID,Muslim Robe,7571
ID,Muslim Robe,7571
ID,Formal Shirt,7572
ID,Formal Shirt,7572
ID,Casual Shirt,7573
ID,Casual Shirt,7573
ID,Blouse,7575
ID,Blouse,7575
ID,Pashmina,7576
ID,Pashmina,7576
ID,Inner Bandana,7577
ID,Inner Bandana,7577
ID,Square Hijab,7578
ID,Square Hijab,7578
ID,Prayer Set,7579
ID,Prayer Set,7579
ID,Prayer Mat,7580
ID,Prayer Mat,7580
ID,Peci,7581
ID,Peci,7581
ID,Food Storage,7679
ID,Food Storage,7679
ID,Selfie Stick,7682
ID,Selfie Stick,7682
ID,Lazypod,7688
ID,Lazypod,7688
ID,Home Care,9631
ID,Home Care,9631
ID,Equipments,9633
ID,Equipments,9633
ID,Gardening,9635
ID,Gardening,9635
ID,Garden Accessories,9636
ID,Garden Accessories,9636
ID,Laundry,9637
ID,Laundry,9637
ID,Pot,9639
ID,Pot,9639
ID,Seed,9640
ID,Fertilizer,9641
ID,Furniture,9941
ID,Furniture,9941
ID,Advan,10010
ID,Advan,10010
ID,Oppo,10011
ID,Oppo,10011
ID,Blackberry,10012
ID,Blackberry,10012
ID,Garment Care,10013
ID,Garment Care,10013
ID,Cooling,10015
ID,Cooling,10015
ID,Men Bags,10217
ID,Men Bags,10217
ID,Men's Wallet,10219
ID,Men's Wallet,10219
ID,Backpack,10222
ID,Backpack,10222
ID,Laptop Bag,10223
ID,Laptop Bag,10223
ID,Shoulder Bag,10224
ID,Shoulder Bag,10224
ID,Shoulder Bag,10225
ID,Shoulder Bag,10225
ID,Souvenir & Party Supplies,10226
ID,Souvenir & Party Supplies,10226
ID,Backpack,10230
ID,Backpack,10230
ID,Handphone Keychain,10391
ID,Handphone Keychain,10391
ID,Smartwatch,10392
ID,Smartwatch,10392
ID,VR,10394
ID,VR,10394
ID,BT Speaker,10397
ID,BT Speaker,10397
ID,Headset,10398
ID,Headset,10398
ID,Tomsis,10399
ID,Tomsis,10399
ID,Handphone Keychain,10400
ID,Handphone Keychain,10400
ID,VR,10401
ID,VR,10401
ID,Radio Control,10404
ID,Radio Control,10404
ID,Electric Fan,10410
ID,Electric Fan,10410
ID,Air Conditioner,10411
ID,Air Conditioner,10411
ID,Electricity,12107
ID,Electricity,12107
ID,Telephone,12109
ID,Telephone,12109
ID,Vaporizer,12111
ID,Vaporizer,12111
ID,Desktop,12119
ID,Desktop,12119
ID,PC Desktop,12121
ID,PC Desktop,12121
ID,All-in-One Desktop,12123
ID,All-in-One Desktop,12123
ID,Desktop & Laptop Component,12126
ID,Desktop & Laptop Component,12126
ID,Processor Intel,12128
ID,Processor Intel,12128
ID,Motherboard Intel,12129
ID,Motherboard Intel,12129
ID,Memory RAM,12132
ID,Memory RAM,12132
ID,PC Casing,12133
ID,PC Casing,12133
ID,Modem,12134
ID,Modem,12134
ID,Wireless Router,12135
ID,Wireless Router,12135
ID,Repeater,12136
ID,Repeater,12136
ID,Wireless Adapter,12137
ID,Wireless Adapter,12137
ID,Hard Disk,12138
ID,Hard Disk,12138
ID,Flash Disk & OTG,12139
ID,Flash Disk & OTG,12139
ID,Casing Hard Disk & Docking,12140
ID,Casing Hard Disk & Docking,12140
ID,Thermal Printer,12142
ID,Thermal Printer,12142
ID,Mixer,12145
ID,Mixer,12145
ID,Meat Grinder,12146
ID,Meat Grinder,12146
ID,Toaster,12147
ID,Toaster,12147
ID,Dispense & Water Kettle,12148
ID,Dispense & Water Kettle,12148
ID,Multimedia Speaker,12149
ID,Multimedia Speaker,12149
ID,Coffee Machine,12150
ID,Coffee Machine,12150
ID,Headphone,12151
ID,Headphone,12151
ID,Refrigerator,12152
ID,Refrigerator,12152
ID,Cooker Hood,12153
ID,Cooker Hood,12153
ID,Soundcard,12154
ID,Soundcard,12154
ID,Mouse,12156
ID,Mouse,12156
ID,Keyboard,12159
ID,Keyboard,12159
ID,Humidifier & Purifier,12161
ID,Humidifier & Purifier,12161
ID,Mouse Pad,12162
ID,Mouse Pad,12162
ID,Home Theatre,12163
ID,Home Theatre,12163
ID,Portable Speaker,12164
ID,Portable Speaker,12164
ID,Active Speaker,12166
ID,Active Speaker,12166
ID,Tablet Pen,12167
ID,Tablet Pen,12167
ID,Gaming,12172
ID,Gaming,12172
ID,Electric Socket,12174
ID,Electric Socket,12174
ID,Gaming Mouse,12175
ID,Gaming Mouse,12175
ID,Electricity Saver,12176
ID,Electricity Saver,12176
ID,Gaming Keyboard,12177
ID,Gaming Keyboard,12177
ID,House Bell,12178
ID,House Bell,12178
ID,Gaming Headset,12179
ID,Gaming Headset,12179
ID,Light Bulbs,12181
ID,Light Bulbs,12181
ID,Joystick & Controllers,12182
ID,Joystick & Controllers,12182
ID,Outdoor Lamp,12183
ID,Outdoor Lamp,12183
ID,Decoration Lamp,12184
ID,Decoration Lamp,12184
ID,Emergency Lamp,12185
ID,Emergency Lamp,12185
ID,Projector & Pointer,12186
ID,Projector & Pointer,12186
ID,Projector Screen,12187
ID,Projector Screen,12187
ID,Torch,12188
ID,Torch,12188
ID,Laser,12189
ID,Laser,12189
ID,Projector & Pointer,12190
ID,Projector & Pointer,12190
ID,Mini Projector,12191
ID,Mini Projector,12191
ID,Pointer,12192
ID,Pointer,12192
ID,Telephone Cable,12193
ID,Telephone Cable,12193
ID,Cordless Phone,12197
ID,Cordless Phone,12197
ID,Fax Machine,12198
ID,Fax Machine,12198
ID,Mod,12201
ID,Mod,12201
ID,Liquid,12203
ID,Liquid,12203
ID,Vaporizer Cotton,12205
ID,Vaporizer Cotton,12205
ID,Atomizer,12206
ID,Atomizer,12206
ID,Coil,12207
ID,Coil,12207
ID,Battery,12208
ID,Iron & Steamer,12209
ID,Iron & Steamer,12209
ID,Sewing Machine,12210
ID,Sewing Machine,12210
ID,Washing Machine & Dryer,12211
ID,Washing Machine & Dryer,12211
ID,Portable Air-Conditioner,12253
ID,Portable Air-Conditioner,12253
ID,Floor Mat,12255
ID,Floor Mat,12255
ID,Table Cloth,12256
ID,Table Cloth,12256
ID,Curtain,12257
ID,Curtain,12257
ID,Cloth Hanger,12258
ID,Cloth Hanger,12258
ID,Hand Towel,12259
ID,Hand Towel,12259
ID,Towel Robe,12260
ID,Towel Robe,12260
ID,Beside Table,12261
ID,Beside Table,12261
ID,Chair,12262
ID,Chair,12262
ID,Furniture Safety,12263
ID,Furniture Safety,12263
ID,Cupboards & Cabinet,12264
ID,Cupboards & Cabinet,12264
ID,Gardening Tools,12266
ID,Gardening Tools,12266
ID,Soccer & Futsal,12268
ID,Soccer & Futsal,12268
ID,Soccer Attire,12270
ID,Soccer Attire,12270
ID,Soccer Ball,12271
ID,Soccer Ball,12271
ID,Soccer Jacket,12274
ID,Soccer Jacket,12274
ID,Soccer Socks,12275
ID,Soccer Socks,12275
ID,Basketball,12276
ID,Basketball,12276
ID,Basketball Attire,12278
ID,Basketball Attire,12278
ID,Basket Ball,12279
ID,Basket Ball,12279
ID,Basketball Ring,12280
ID,Basketball Ring,12280
ID,Volleyball,12281
ID,Volleyball,12281
ID,Volleyball Attire,12283
ID,Volleyball Attire,12283
ID,Volley Ball,12284
ID,Volley Ball,12284
ID,Badminton,12286
ID,Badminton,12286
ID,Badminton Racket,12288
ID,Badminton Racket,12288
ID,Shuttlecock,12289
ID,Shuttlecock,12289
ID,Badminton Net,12290
ID,Badminton Net,12290
ID,Tennis,12292
