内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9508402,133581486743,US,https://www.ebay.com/itm/133581486743,Women Casual Plaid Blouse V Neck Long Sleeve Button T Shirt Splice Loose Fit Top,wowlife78,US,"US,New York,Oceanside",12,11.99-,0,0
9493645,313207752150,US,https://www.ebay.com/itm/313207752150,Women Long Sleeve Crew Neck Leopard Print T Shirt Casual Loose Blouse Tunic Tops,gljfc168,US,"US,New York,Oceanside",12,12.09-,2,2
9511959,133557384023,US,https://www.ebay.com/itm/133557384023,Women Casual Plaid Printing T Shirt Long Sleeve Tops Cardigan Loose Fall Blouse,wowlife78,US,"US,New York,Oceanside",12,11.71-,1,2
9469893,293749136083,US,https://www.ebay.com/itm/293749136083,US Womens Camo Cargo Joggers Trousers Ladies Tracksuit Bottoms Jogging Gym Pants,wellamazing,CN,"US,California US",8,7.69-,0,1
9513330,193774550675,US,https://www.ebay.com/itm/193774550675,Women Loose Casual White Cat Print T Shirt Tee Crew Neck Long Sleeve Tops Blouse,dynast_56,US,"US,New York,Oceanside",12,12.09-,6,8
9512193,313209917688,US,https://www.ebay.com/itm/313209917688,Women Long Sleeve Crew Neck T Shirt Casual Stitching Color Blouse Loose Fit Tops,gljfc168,US,"US,New York,Oceanside",13,13.19-,0,2
9513329,313329425279,US,https://www.ebay.com/itm/313329425279,Women Long Sleeve T Shirt Crew Neck Casual Tops Floral Loose Blouse Tunic,gljfc168,US,"US,New York,Oceanside",10,9.89-,5,21
9513334,313175249925,US,https://www.ebay.com/itm/313175249925,Women A-line Sleeveless Solid Casual Party Tank Dress Midi Dress Beach Sundress,gljfc168,US,"US,New York,Oceanside",7,7.46-,2,6
9505586,133525207203,US,https://www.ebay.com/itm/133525207203,Womens Casual Slim Blazer Suit Jacket Solid Coats Formal Career OL Outwear Tops,wowlife78,US,"US,New York,Flushing",11,10.99-,6,12
9510542,372667698654,US,https://www.ebay.com/itm/372667698654,Women Fashion Half Sleeve Floral Printed Women Blouse Casual Top Summer Tops,jennysun2010,CN,"CN,Guangzhou",11,10.79-,1,1
9465782,313123962307,US,https://www.ebay.com/itm/313123962307,Women Summer Short Sleeve V Neck T Shirt Loose Leopard Print Casual Tops Blouse ,gljfc168,US,"US,New York,Oceanside",11,10.91-,2,6
9478894,313163350287,US,https://www.ebay.com/itm/313163350287,Women V Neck Suspender Tank Solid Casual T Shirt Loose Button Blouse Beach Tops,gljfc168,US,"US,New York,Oceanside",9,9.44-,0,0
9497605,392991932481,US,https://www.ebay.com/itm/392991932481,Women Vestidos De Fiesta Cortos Vestido Para Mujer Casuales Elegantes Noche New,dorisea-ca,CN,"CN,YW",17,16.8-,1,4
9505657,313185849497,US,https://www.ebay.com/itm/313185849497,New Women Casual Short Sleeve Oblique shoulder Solid Loose T Shirt Tops Blouse,gljfc168,US,"US,New York,Oceanside",8,8.29-,5,10
9513347,313259005153,US,https://www.ebay.com/itm/313259005153,Women Long Sleeve Crew Neck T Shirt Casual Floral Blouse Loose Beach Tunic Tops,gljfc168,US,"US,New York,Oceanside",12,12.09-,1,2
9469996,392934563281,US,https://www.ebay.com/itm/392934563281,Women Summer Short Sleeve Casual Short Dress Crew Neck Gradient Loose Dresses,gooddeal200988,CN,"CN,shanghai",8,7.59-,0,0
