内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
,,,,,,,,,,,
9498812.00,114514944088.00,UK,https://www.ebay.co.uk/itm/114514944088,Womens Cat Print Tops Pullover Jumper Sweatshirt Ladies Long Sleeve Blouse Tops,x-easy,CN,"GB,London(GB)",8.78,8.78-,0.00,1.00
,,,,,,,,,,,
9504055.00,124429462118.00,UK,https://www.ebay.co.uk/itm/124429462118,Women Long Sleeve V Neck Zip Slim Fit Tops Ladies Casual Shirt Pullover Blouse,kyliegrand7kg,HK,"GB,London",7.45,7.45-,1.00,2.00
,,,,,,,,,,,
9466388.00,402394252854.00,UK,https://www.ebay.co.uk/itm/402394252854,Womens Long Sleeve Chiffon Blouse T Shirt Ladies OL Work V Neck Plain Tops Shirt,rosymiss,CN,"GB,Manchester",9.59,9.59-,1.00,3.00
,,,,,,,,,,,
9427038.00,114429697146.00,UK,https://www.ebay.co.uk/itm/114429697146,Ladies Skinny Jegging Womens Ripped Stretchy Jeans Christmas Plus Sizes UK 10-24,hmjsmarttechltd,GB,"GB,Rochdale",5.99,5.99-,27.00,58.00
,,,,,,,,,,,
9443233.00,184509694385.00,UK,https://www.ebay.co.uk/itm/184509694385,Womens Dress Maxi Long Sleeve Button Down Evening Party Casual Shirt Dress SIZES,jorielife,CN,"GB,Leicester",16.81,16.81-,3.00,7.00
,,,,,,,,,,,
9512087.00,114514780100.00,UK,https://www.ebay.co.uk/itm/114514780100,Sexy Women High Neck Beaded Cold Shoulder Long Sleeve Jumper Pullover Blouse Top,x-easy,China,"GB,London(GB)",7.86,7.86-,0.00,0.00
,,,,,,,,,,,
9469890.00,233738559136.00,UK,https://www.ebay.co.uk/itm/233738559136,Womens Long Sleeve Floral Tops Ladies Irregular Casual Loose T-Shirt Blouse Tee,designezone,CN,"GB,Manchester",6.49,6.49-,7.00,17.00
,,,,,,,,,,,
9497579.00,373276351694.00,-,https://www.ebay.co.uk/itm/373276351694,无此项数据,-,-,-,-,--,-,-
,,,,,,,,,,,
9506143.00,154200478056.00,UK,https://www.ebay.co.uk/itm/154200478056,Womens Casual Long Sleeve Tops Loose Pullover Blouse Jumper Ladies Tee T-shirt,bouncecre63,GB,"GB,London",8.99,8.99-,6.00,13.00
,,,,,,,,,,,
9512076.00,124324459484.00,UK,https://www.ebay.co.uk/itm/124324459484,Womens Faux Leather Long Sleeve Shirts Ladies Wet Look Slim Fit Blouse Tops UK,kyliegrand7kg,HK,"GB,London",9.94,9.94-,0.00,3.00
,,,,,,,,,,,
9515119.00,184407582914.00,UK,https://www.ebay.co.uk/itm/184407582914,Plus Size Womens Lace 3/4 Sleeve V Neck T Shirt Ladies Floral Blouse Casual Tops,camerontake,HK,"GB,Leicester",12.72,12.72-,2.00,7.00
,,,,,,,,,,,
9500347.00,124420558872.00,UK,https://www.ebay.co.uk/itm/124420558872,Women Wrap V Neck Long Sleeve T Shirt Ladies OL Office Slim Fit Blouse Tops UK,kyliegrand7kg,HK,"GB,London",8.69,8.69-,1.00,2.00
,,,,,,,,,,,
9510556.00,284046445351.00,UK,https://www.ebay.co.uk/itm/284046445351,WOMEN'S CASUAL MIDI BODYCON DRESS LONG SLEEVE SLIM FRONT BOTTON - Size 8-16,bonicarolifestyle,GB,"GB,London",7.99,7.99-,5.00,11.00
,,,,,,,,,,,
9515316.00,293765706776.00,UK,https://www.ebay.co.uk/itm/293765706776,U.K WOMEN'S FRANKIE SWING DRESS FLARED SKATER JERSEY LONG SLEEVE MIDI SIZE 8-24,naimatoutfits,GB,"GB,Leicester",8.99,8.99-,1.00,3.00
,,,,,,,,,,,
9511015.00,254752203416.00,UK,https://www.ebay.co.uk/itm/254752203416,2PCS Womens Cargo Work Tracksuit Zipper Coat Pants Set Ladies Casual Loungewear,x-buying,CN,"GB,London",9.73,9.73-,2.00,9.00
,,,,,,,,,,,
9515127.00,174479496326.00,UK,https://www.ebay.co.uk/itm/174479496326,Womens Leopard Print Bodycon Dress Ladies Sexy Club Party Mini Dress Clubwear UK,easyvocabulary,HK,"GB,London GB",7.67,7.67-,4.00,8.00
,,,,,,,,,,,
9469372.00,124303114922.00,UK,https://www.ebay.co.uk/itm/124303114922,Women Lace Up Strappy Bodycon Dress Ladies Club Party Mini Denim Jeans Dress UK,kyliegrand7kg,HK,"GB,London",9.94,9.94-,0.00,3.00
,,,,,,,,,,,
9506554.00,224222548564.00,UK,https://www.ebay.co.uk/itm/224222548564,Women's Ladies Long Sleeve V Neck Mini Dress Bodycon Button Casual Jumper Dress,easypurple,HK,"GB,London GB",7.72,7.72-,3.00,5.00
,,,,,,,,,,,
9515120.00,254753200661.00,UK,https://www.ebay.co.uk/itm/254753200661,Women Drawstring Ruched Mini Dress Long Sleeve Bodycon Pullover Sweatshirt Dress,x-buying,China,"GB,London",6.91,6.91-,0.00,0.00
,,,,,,,,,,,
